document_id,title,version,effective_date,status,priority,next_review,file,replaced_by
MAN-COMPREHENSIVE-001,홈앤스테이 종합 운영·통계·공개정책 매뉴얼,V.01.0,2026-09-04,current,P0,2026-09-11,docs/HOME_AND_STAY_COMPREHENSIVE_OPERATIONS_MANUAL_V01_0_2026-09-04.md,
RPT-V02-STEP3,3단계 staging·승인 구축 보고서,,2026-09-03,historical,,,DB_DATA_COLLECTION_MANAGEMENT_POLICY_V02_STEP3_STAGING_REPORT.md
RPT-V02-STEP4,4단계 정부 CSV 검증 보고서,,2026-09-03,historical,,,DB_DATA_COLLECTION_MANAGEMENT_POLICY_V02_STEP4_CSV_VALIDATION_REPORT.md
RPT-V02-STEP5,5단계 주소·건물 매칭 보고서,,2026-09-03,historical,,,DB_DATA_COLLECTION_MANAGEMENT_POLICY_V02_STEP5_MATCHING_REPORT.md
RPT-LODGE-CLASS,숙박 분류 검토 문서,,,historical-supporting,,,lodging-classification-review.md
RPT-LODGE-AUDIT-20260830,운영 숙박 법정분류 전수 대조 보고서,,2026-08-30,historical,,,reports/lodging_classification_audit_2026-08-30.md
RPT-CAMP-MATCH-20260830,캠핑장 수동 건물 연결 점검,,2026-08-30,historical,,,reports/camping_manual_match_audit_2026-08-30.md
RUN-SYNC-001,데이터 수집·동기화 운영매뉴얼,V.01.0,2026-09-04,superseded-preserved,P0,2026-09-11,docs/DATA_COLLECTION_SYNC_OPERATIONS_MANUAL_V01_0_2026-09-04.md,MAN-COMPREHENSIVE-001
MAN-LODGE-STAT-001,숙박 통계·공개정책 매뉴얼,V.01.0,2026-09-04,superseded-preserved,P1,2026-09-11,docs/LODGING_STATISTICS_PUBLIC_POLICY_MANUAL_V01_0_2026-09-04.md,MAN-COMPREHENSIVE-001
RUN-RELEASE-001,배포·운영 검증·롤백 매뉴얼,draft,,planned,P0,2026-09-11,
RUN-INCIDENT-001,장애 대응·복구 매뉴얼,draft,,planned,P0,2026-09-18,
POL-API-001,외부 API·할당량 정책,draft,,planned,P0,2026-09-18,
RUN-SCHEMA-001,DB 스키마 변경·승격 매뉴얼,draft,,planned,P0,2026-09-18,
RUN-CACHE-001,캐시·통계 갱신 매뉴얼,draft,,planned,P1,2026-09-25,
RUN-ADMIN-DATA-001,관리자 데이터 버튼 매뉴얼,draft,,planned,P1,2026-09-25,
MAN-BRHUB-001,건축HUB 수집 매뉴얼,draft,,planned,P1,2026-10-02,
MAN-RTMS-001,실거래 수집 매뉴얼,draft,,planned,P1,2026-10-02,
MAN-CAMP-001,캠핑 원본·좌표·사이트 수 매뉴얼,draft,,planned,P1,2026-10-02,
MAN-STORE-001,소상공인 상가정보 수집 매뉴얼,draft,,planned,P1,2026-10-09,
POL-AUTH-001,회원·관리자 인증 및 접속기록 정책,draft,,planned,P1,2026-10-09,
POL-NOTIFY-001,이메일·SMS 알림 운영 정책,draft,,planned,P1,2026-10-09,
POL-LISTING-001,매물 공개범위·직거래·급매 정책,draft,,planned,P1,2026-10-16,
POL-QUALITY-001,데이터 품질지표·경보 정책,draft,,planned,P2,2026-10-23,
RUN-PREWARM-001,예열·백필 작업대장,draft,,planned,P2,2026-10-23,
POL-RETENTION-001,원본·감사·로그 보존 정책,draft,,planned,P2,2026-10-30,
POL-ANALYTICS-001,서비스 분석 이벤트 정책,draft,,planned,P2,2026-10-30,
GUIDE-FRONTEND-001,프런트 릴리스·회귀 점검 가이드,draft,,planned,P2,2026-11-06,
TEMPLATE-AUDIT-001,검증·장애·배포 보고서 템플릿,draft,,planned,P2,2026-11-06,
